READ,User,2025-06-02 17:53:53
CREATE,User,2025-06-02 17:59:17
READ_ALL,Event,2025-06-02 17:59:42
READ,User,2025-06-02 18:01:42
CREATE,Event,2025-06-02 18:02:03
READ_ALL,Event,2025-06-02 18:02:05
READ,Event,2025-06-02 18:02:19
CREATE,User,2025-06-02 18:07:06
READ_ALL,Event,2025-06-02 18:07:08
READ_ALL,Bilet,2025-06-02 18:07:22
READ_ALL,Event,2025-06-02 18:07:39
READ,User,2025-06-02 18:09:23
CREATE,Event,2025-06-02 18:09:42
READ_ALL,Event,2025-06-02 18:09:44
READ,Event,2025-06-02 18:09:49
CREATE,Bilet,2025-06-02 18:09:53
UPDATE,Event,2025-06-02 18:09:53
READ_ALL,Bilet,2025-06-02 18:09:56
UPDATE,Bilet,2025-06-02 18:10:15
READ,Event,2025-06-02 18:10:15
UPDATE,Event,2025-06-02 18:10:15
READ_ALL,Bilet,2025-06-02 18:10:24
READ_ALL,Event,2025-06-02 18:10:50
READ,User,2025-06-02 18:13:53
CREATE,Event,2025-06-02 18:14:13
READ_ALL,Event,2025-06-02 18:14:15
READ,User,2025-06-02 18:14:34
READ,Event,2025-06-02 18:15:01
CREATE,Bilet,2025-06-02 18:15:05
UPDATE,Event,2025-06-02 18:15:05
READ_ALL,Bilet,2025-06-02 18:15:09
READ,Event,2025-06-02 18:15:26
READ_ALL,Bilet,2025-06-02 18:15:26
READ,User,2025-06-02 18:15:26
UPDATE,Bilet,2025-06-02 18:15:26
DELETE,Event,2025-06-02 18:15:26
READ,User,2025-06-02 18:22:09
READ_ALL,Event,2025-06-02 18:22:10
READ_ALL,Bilet,2025-06-02 18:22:18
READ,Event,2025-06-02 18:22:50
CREATE,Bilet,2025-06-02 18:22:57
UPDATE,Event,2025-06-02 18:22:57
READ,User,2025-06-02 18:23:11
READ_ALL,Bilet,2025-06-02 18:23:13
READ,Event,2025-06-02 18:23:28
READ_ALL,Bilet,2025-06-02 18:23:28
READ,User,2025-06-02 18:23:28
DELETE,Bilet,2025-06-02 18:23:28
DELETE,Event,2025-06-02 18:23:28
READ,User,2025-06-02 18:32:08
READ_ALL,Bilet,2025-06-02 18:32:10
READ_ALL,Event,2025-06-02 18:32:29
READ,Event,2025-06-02 18:32:51
CREATE,Bilet,2025-06-02 18:32:55
UPDATE,Event,2025-06-02 18:32:55
READ_ALL,Bilet,2025-06-02 18:33:01
READ,Event,2025-06-02 18:33:12
READ_ALL,Bilet,2025-06-02 18:33:12
READ,User,2025-06-02 18:33:12
DELETE,Bilet,2025-06-02 18:33:13
READ,User,2025-06-02 18:33:13
DELETE,Bilet,2025-06-02 18:33:13
DELETE,Event,2025-06-02 18:33:13
READ_ALL,Event,2025-06-02 18:33:26
READ,User,2025-06-02 19:26:11
READ_ALL,Event,2025-06-02 19:26:15
READ,User,2025-06-02 19:28:38
READ_ALL,Event,2025-06-02 19:28:39
READ,event_artists pentru eveniment: as,2025-06-02 19:28:39
READ,Event,2025-06-02 19:28:58
READ,User,2025-06-02 19:34:58
READ_ALL,Event,2025-06-02 19:35:44
READ,event_artists pentru eveniment: as,2025-06-02 19:35:44
READ,Event,2025-06-02 19:35:49
READ,User,2025-06-02 19:37:20
READ_ALL,Event,2025-06-02 19:37:22
READ,event_artists pentru eveniment: as,2025-06-02 19:37:22
READ,Event,2025-06-02 19:37:27
READ,User,2025-06-02 19:39:34
READ_ALL,Event,2025-06-02 19:39:36
READ,event_artists pentru eveniment: as,2025-06-02 19:39:36
READ,Event,2025-06-02 19:39:41
CREATE,Artist,2025-06-02 19:39:52
CREATE,event_artists,2025-06-02 19:39:53
READ_ALL,Event,2025-06-02 19:39:56
READ,event_artists pentru eveniment: as,2025-06-02 19:39:56
READ,Event,2025-06-02 19:40:17
READ_ALL,Bilet,2025-06-02 19:40:17
READ,User,2025-06-02 19:40:17
DELETE,Bilet,2025-06-02 19:40:18
DELETE,Event,2025-06-02 19:40:18
READ,User,2025-06-02 19:41:51
READ_ALL,Event,2025-06-02 19:41:52
READ,event_artists pentru eveniment: as,2025-06-02 19:41:52
READ,User,2025-06-02 19:46:00
READ_ALL,Event,2025-06-02 19:46:02
READ,event_artists pentru eveniment: as,2025-06-02 19:46:02
READ,Event,2025-06-02 19:46:12
READ_ALL,Bilet,2025-06-02 19:46:12
DELETE,event_artists pentru eveniment: as,2025-06-02 19:46:12
DELETE,Event,2025-06-02 19:46:12
READ_ALL,Event,2025-06-02 19:46:18
READ,User,2025-06-06 00:51:44
READ,User,2025-06-06 01:20:08
READ_ALL,Event,2025-06-06 01:20:08
CREATE,Event,2025-06-06 01:20:29
READ_ALL,Event,2025-06-06 01:20:31
READ,event_artists pentru eveniment: as,2025-06-06 01:20:31
CREATE,Event,2025-06-06 01:20:49
READ_ALL,Event,2025-06-06 01:20:50
READ,event_artists pentru eveniment: as,2025-06-06 01:20:50
READ,event_artists pentru eveniment: asdf,2025-06-06 01:20:50
READ,Event,2025-06-06 01:21:01
CREATE,Artist,2025-06-06 01:21:09
CREATE,event_artists,2025-06-06 01:21:09
READ_ALL,Event,2025-06-06 01:21:11
READ,event_artists pentru eveniment: as,2025-06-06 01:21:11
READ,event_artists pentru eveniment: asdf,2025-06-06 01:21:11
READ,Event,2025-06-06 01:21:38
CREATE,Artist,2025-06-06 01:21:48
CREATE,event_artists,2025-06-06 01:21:48
READ,User,2025-06-06 01:22:17
READ_ALL,Event,2025-06-06 01:22:18
READ,event_artists pentru eveniment: as,2025-06-06 01:22:18
READ,event_artists pentru eveniment: asdf,2025-06-06 01:22:18
READ,Artist,2025-06-06 01:22:40
UPDATE,Artist,2025-06-06 01:22:48
READ,User,2025-06-06 01:23:07
READ,Artist,2025-06-06 01:23:11
DELETE,Event_Artist,2025-06-06 01:23:15
DELETE,Artist,2025-06-06 01:23:15
READ,User,2025-06-06 01:24:00
READ_ALL,Event,2025-06-06 01:24:26
READ,event_artists pentru eveniment: as,2025-06-06 01:24:26
READ,event_artists pentru eveniment: asdf,2025-06-06 01:24:26
READ,User,2025-06-06 01:25:13
READ_ALL,Event,2025-06-06 01:25:16
READ,event_artists pentru eveniment: as,2025-06-06 01:25:16
READ,event_artists pentru eveniment: asdf,2025-06-06 01:25:16
READ,Event,2025-06-06 01:25:37
READ_ALL,Bilet,2025-06-06 01:25:37
DELETE,event_artists pentru eveniment: asdf,2025-06-06 01:25:37
DELETE,Event,2025-06-06 01:25:37
CREATE,User,2025-06-06 01:53:55
READ_ALL,Event,2025-06-06 01:54:24
READ,event_artists pentru eveniment: as,2025-06-06 01:54:25
READ,User,2025-06-06 01:58:10
UPDATE,User,2025-06-06 01:58:21
READ,User,2025-06-06 01:58:31
UPDATE,User,2025-06-06 01:58:41
DELETE,Bilet,2025-06-06 01:59:19
DELETE,User,2025-06-06 01:59:19
CREATE,User,2025-06-06 01:59:36
CREATE,User,2025-06-06 02:08:53
DELETE,Bilet,2025-06-06 02:09:04
DELETE,User,2025-06-06 02:09:04
READ,User,2025-06-06 02:09:16
READ,Artist,2025-06-06 02:09:32
UPDATE,Artist,2025-06-06 02:09:39
READ,Artist,2025-06-06 02:09:47
UPDATE,Artist,2025-06-06 02:09:49
READ,User,2025-06-06 02:11:17
READ,Artist,2025-06-06 02:11:22
UPDATE,Artist,2025-06-06 02:11:25
READ_ALL,Event,2025-06-06 02:11:27
READ,event_artists pentru eveniment: as,2025-06-06 02:11:27
